Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"D01",Rare Event Detection,"RED","AA210424S",Ch1Unknown,"N1","Manual",1.1,One-Step RT-ddPCR Kit for Probes,22,,,1.9,0.9,13,13318,13,0,0,13318,1.15,13331,,,,,,,,1,,,1.8,0.2,50,,,70,30,1,1,6379,11126,2887.6,2895.6,"Rare Event Detection Experiment",,,,1.5,0,,,,,,,1.39,0.61,,,60,40,
"D02",Rare Event Detection,"RED","AA210424S",Ch1Unknown,"N1","CHECK",No Call,One-Step RT-ddPCR Kit for Probes,,,,,,0,774,0,0,1,773,0,774,,,,,,,,,,,,,,,,,,1,1,6379,0,1391.1,1391.1,"Rare Event Detection Experiment",,,,,,,,,,,,,,,,,,
"D03",Rare Event Detection,"RED","AA210424S-",Ch1Unknown,"N1","Manual",1.4,One-Step RT-ddPCR Kit for Probes,28,,,2.3,1.1,15,12529,15,0,0,12529,1.41,12544,,,,,,,,1,,,1.7,0.3,50,,,68,32,1,1,6379,10972,3007.7,3017.2,"Rare Event Detection Experiment",,,,1.8,0,,,,,,,1.37,0.63,,,59,41,
"D04",Rare Event Detection,"RED","AA210424S-",Ch1Unknown,"N1","CHECK",No Call,One-Step RT-ddPCR Kit for Probes,,,,,,0,247,0,0,0,247,0,247,,,,,,,,,,,,,,,,,,1,1,6379,0,455.8,455.8,"Rare Event Detection Experiment",,,,,,,,,,,,,,,,,,
"D05",Rare Event Detection,"RED","AA210502S",Ch1Unknown,"N1","Manual",0.86,One-Step RT-ddPCR Kit for Probes,17.2,,,1.45,0.64,12,16398,10,2,0,16398,0.717,16410,,,,,,,,1.2,,,2.2,0.2,55,,,76,33,1,1,6379,10473,2848.4,2854,"Rare Event Detection Experiment",,,,1.1,0,,,,,,,1.7,0.7,,,65,44,
"D06",Rare Event Detection,"RED","AA210502S",Ch1Unknown,"N1","Manual",0.55,One-Step RT-ddPCR Kit for Probes,11,,,1,0.39,9,19155,9,0,0,19155,0.553,19164,,,,,,,,1,,,1.9,0.1,50,,,74,26,1,1,6379,10764,3001.9,3005.6,"Rare Event Detection Experiment",,,,0.76,0,,,,,,,1.47,0.53,,,62,38,
"D07",Rare Event Detection,"RED","AA210502S-",Ch1Unknown,"N1","Manual",0.57,One-Step RT-ddPCR Kit for Probes,11.4,,,1,0.41,10,20659,10,0,0,20659,0.569,20669,,,,,,,,1,,,1.9,0.1,50,,,72,28,1,1,6379,11640,2904.8,2909.1,"Rare Event Detection Experiment",,,,0.77,0,,,,,,,1.45,0.55,,,61,39,
"D08",Rare Event Detection,"RED","AA210502S-",Ch1Unknown,"N1","Manual",0.5,One-Step RT-ddPCR Kit for Probes,10,,,0.97,0.33,7,16547,6,1,0,16547,0.426,16554,,,,,,,,1.2,,,2.5,0,54,,,82,26,1,1,6379,10790,2967.7,2971.1,"Rare Event Detection Experiment",,,,0.71,0,,,,,,,1.8,0.5,,,68,40,
"E01",Rare Event Detection,"RED","AA210425S",Ch1Unknown,"N1","Manual",1.2,One-Step RT-ddPCR Kit for Probes,24,,,2,0.9,15,14246,15,0,3,14243,1.24,14261,,,,,,,,0.8,,,1.4,0.3,45,,,63,28,1,1,6379,10626,2895.5,2903.6,"Rare Event Detection Experiment",,,,1.6,0,,,,,,,1.13,0.54,,,54,37,
"E02",Rare Event Detection,"RED","AA210425S",Ch1Unknown,"N1","CHECK",No Call,One-Step RT-ddPCR Kit for Probes,,,,,,1,959,1,0,0,959,1.23,960,,,,,,,,,,,,,,,,,,1,1,6379,8700.5,2008.5,2015.5,"Rare Event Detection Experiment",,,,,,,,,,,,,,,,,,
