Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"E10",Rare Event Detection,"RED","NTC",Ch1NTC,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.23,0,0,15263,0,0,0,15263,0,15263,,,,,,,,,,,,,,,,,,1,1,7131,0,3288.2,3288.2,"Rare Event Detection Experiment",,,,0.11,0,,,,,,,,,,,,,
"F01",Rare Event Detection,"RED","26YC201109S",Ch1Unknown,"N1","Manual",2.4,One-Step RT-ddPCR Kit for Probes,48,,,3.3,1.6,29,14466,29,0,0,14466,2.36,14495,,,,,,,,1,,,1.5,0.5,50,,,63,37,1,1,7131,12168,3477.1,3494.5,"Rare Event Detection Experiment",,,,2.82,1.95,,,,,,,1.26,0.74,,,57,43,
"F02",Rare Event Detection,"RED","26YC201109S",Ch1Unknown,"N1","Manual",2.8,One-Step RT-ddPCR Kit for Probes,56,,,3.9,2,34,14161,34,0,0,14161,2.82,14195,,,,,,,,1,,,1.48,0.52,50,,,62,38,1,1,7131,12748,3533,3555.1,"Rare Event Detection Experiment",,,,3.33,2.37,,,,,,,1.24,0.76,,,56,44,
"F03",Rare Event Detection,"RED","26YC201109S-",Ch1Unknown,"N1","Manual",1.9,One-Step RT-ddPCR Kit for Probes,38,,,2.9,1.2,21,12900,21,0,0,12900,1.91,12921,,,,,,,,1,,,1.6,0.4,50,,,65,35,1,1,7131,12759,3573.6,3588.5,"Rare Event Detection Experiment",,,,2.36,1.53,,,,,,,1.31,0.69,,,58,42,
"F04",Rare Event Detection,"RED","26YC201109S-",Ch1Unknown,"N1","Manual",1.8,One-Step RT-ddPCR Kit for Probes,36,,,2.6,1.3,30,19169,30,0,0,19169,1.84,19199,,,,,,,,1,,,1.5,0.5,50,,,63,37,1,1,7131,12677,3514.7,3529.1,"Rare Event Detection Experiment",,,,2.2,1.52,,,,,,,1.26,0.74,,,56,44,
"F05",Rare Event Detection,"RED","26YC201214S",Ch1Unknown,"N1","Manual",4.6,One-Step RT-ddPCR Kit for Probes,92,,,5.7,3.6,69,17776,69,0,0,17776,4.56,17845,,,,,,,,1,,,1.34,0.66,50,,,58,42,1,1,7131,12650,3645.9,3680.7,"Rare Event Detection Experiment",,,,5.1,4,,,,,,,1.17,0.83,,,54.2,45.8,
"F06",Rare Event Detection,"RED","26YC201214S",Ch1Unknown,"N1","Manual",5,One-Step RT-ddPCR Kit for Probes,100,,,6.2,3.9,70,16562,70,0,2,16560,4.96,16632,,,,,,,,0.97,,,1.29,0.65,49,,,58,41,1,1,7131,12079,3616.7,3652.3,"Rare Event Detection Experiment",,,,5.6,4.4,,,,,,,1.14,0.81,,,53.5,45.1,
"F07",Rare Event Detection,"RED","26YC201214S-",Ch1Unknown,"N1","Manual",4.1,One-Step RT-ddPCR Kit for Probes,82,,,5.4,3.1,52,14724,52,0,0,14724,4.15,14776,,,,,,,,1,,,1.39,0.61,50,,,60,40,1,1,7131,12737,3710.8,3742.6,"Rare Event Detection Experiment",,,,4.7,3.6,,,,,,,1.2,0.8,,,54.9,45.1,
"F08",Rare Event Detection,"RED","26YC201214S-",Ch1Unknown,"N1","Manual",4.4,One-Step RT-ddPCR Kit for Probes,88,,,5.6,3.4,62,16388,62,0,0,16388,4.44,16450,,,,,,,,1,,,1.35,0.65,50,,,59,41,1,1,7131,12255,3554,3586.8,"Rare Event Detection Experiment",,,,5,3.9,,,,,,,1.18,0.82,,,54.5,45.5,
"F09",Rare Event Detection,"RED","POS 3",Ch1Positive Control,"N1","Manual",71.9,One-Step RT-ddPCR Kit for Probes,1438,,,76.7,67.2,891,14133,881,10,1,14132,71.1,15024,,,,,,,,,,,,,,,,,,1,1,7131,19303,3343.2,4289.8,"Rare Event Detection Experiment",,,,74.3,69.5,,,,,,,,,,,,,
"F10",Rare Event Detection,"RED","NTC",Ch1NTC,"N1","Manual",0.07,One-Step RT-ddPCR Kit for Probes,1.4,,,0.35,0,1,15882,1,0,0,15882,0.0741,15883,,,,,,,,,,,,,,,,,,1,1,7131,11344,3319.1,3319.6,"Rare Event Detection Experiment",,,,0.18,0.02,,,,,,,,,,,,,
"G01",Rare Event Detection,"RED","26YC201110S",Ch1Unknown,"N1","Manual",2.2,One-Step RT-ddPCR Kit for Probes,44,,,3.1,1.6,32,16764,32,0,0,16764,2.24,16796,,,,,,,,1,,,1.49,0.51,50,,,62,38,1,1,7131,13748,3589.9,3609.3,"Rare Event Detection Experiment",,,,2.66,1.87,,,,,,,1.25,0.75,,,56,44,
"G02",Rare Event Detection,"RED","26YC201110S",Ch1Unknown,"N1","CHECK",No Call,One-Step RT-ddPCR Kit for Probes,,,,,,0,842,0,0,0,842,0,842,,,,,,,,,,,,,,,,,,1,1,7131,0,1066.6,1066.6,"Rare Event Detection Experiment",,,,,,,,,,,,,,,,,,
"G03",Rare Event Detection,"RED","26YC201110S-",Ch1Unknown,"N1","Manual",2.7,One-Step RT-ddPCR Kit for Probes,54,,,3.8,1.9,30,12897,30,0,0,12897,2.73,12927,,,,,,,,1,,,1.5,0.5,50,,,63,37,1,1,7131,12650,3541.9,3563,"Rare Event Detection Experiment",,,,3.26,2.27,,,,,,,1.26,0.74,,,56,44,
"G04",Rare Event Detection,"RED","26YC201110S-",Ch1Unknown,"N1","Manual",2.8,One-Step RT-ddPCR Kit for Probes,56,,,3.8,2,37,15473,37,0,0,15473,2.81,15510,,,,,,,,1,,,1.46,0.54,50,,,61,39,1,1,7131,12664,3566.8,3588.5,"Rare Event Detection Experiment",,,,3.3,2.37,,,,,,,1.23,0.77,,,56,44,
"G05",Rare Event Detection,"RED","26YC201215S",Ch1Unknown,"N1","Manual",4.4,One-Step RT-ddPCR Kit for Probes,88,,,5.8,3.3,52,13768,51,1,0,13768,4.35,13820,,,,,,,,1.02,,,1.42,0.62,50,,,60,41,1,1,7131,12237,3637.2,3669.6,"Rare Event Detection Experiment",,,,5.1,3.8,,,,,,,1.22,0.82,,,55.4,45.6,
