Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"C07",Rare Event Detection,"RED","YC201116S-",Ch1Unknown,"N1","Manual",2.7,One-Step RT-ddPCR Kit for Probes,54,,,3.9,1.8,27,11554,27,0,0,11554,2.75,11581,,,,,,,,1,,,1.5,0.5,50,,,63,37,1,1,8855,12531,3448,3469.2,"Rare Event Detection Experiment",,,,3.3,2.3,,,,,,,1.27,0.73,,,57,43,
"C08",Rare Event Detection,"RED","YC201116S-",Ch1Unknown,"N1","Manual",2.7,One-Step RT-ddPCR Kit for Probes,54,,,3.7,1.8,31,13721,31,0,0,13721,2.66,13752,,,,,,,,1,,,1.5,0.5,50,,,63,37,1,1,8855,11953,3355.2,3374.5,"Rare Event Detection Experiment",,,,3.16,2.21,,,,,,,1.25,0.75,,,56,44,
"C09",Rare Event Detection,"RED","POS 3",Ch1Positive Control,"N1","Manual",59.7,One-Step RT-ddPCR Kit for Probes,1194,,,63.6,55.8,915,17583,914,1,17,17566,59.6,18498,,,,,,,,,,,,,,,,,,1,1,8855,18915,3184,3962.2,"Rare Event Detection Experiment",,,,61.7,57.7,,,,,,,,,,,,,
"D01",Rare Event Detection,"RED","YC201022S",Ch1Unknown,"N1","CHECK",No Call,One-Step RT-ddPCR Kit for Probes,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,1,8855,0,0,0,"Rare Event Detection Experiment",,,,,,,,,,,,,,,,,,
"D02",Rare Event Detection,"RED","YC201022S",Ch1Unknown,"N1","Manual",1,One-Step RT-ddPCR Kit for Probes,20,,,1.8,0.5,11,12688,11,0,0,12688,1.02,12699,,,,,,,,1,,,1.9,0.1,50,,,71,29,1,1,8855,12393,3435.9,3443.7,"Rare Event Detection Experiment",,,,1.36,0.74,,,,,,,1.43,0.57,,,61,39,
"D03",Rare Event Detection,"RED","YC201022S-",Ch1Unknown,"N1","Manual",0.8,One-Step RT-ddPCR Kit for Probes,16,,,1.4,0.4,10,14332,10,0,1,14331,0.821,14342,,,,,,,,0.9,,,1.7,0.1,48,,,69,26,1,1,8855,12839,3490.4,3496.9,"Rare Event Detection Experiment",,,,1.11,0.59,,,,,,,1.31,0.51,,,59,37,
"D04",Rare Event Detection,"RED","YC201022S-",Ch1Unknown,"N1","Manual",0.46,One-Step RT-ddPCR Kit for Probes,9.2,,,0.93,0.18,6,15505,6,0,0,15505,0.455,15511,,,,,,,,1,,,2.2,0,50,,,79,21,1,1,8855,12549,3567.4,3570.9,"Rare Event Detection Experiment",,,,0.67,0.29,,,,,,,1.6,0.4,,,65,35,
"D05",Rare Event Detection,"RED","YC201117S",Ch1Unknown,"N1","Manual",4.5,One-Step RT-ddPCR Kit for Probes,90,,,5.8,3.5,58,14994,58,0,0,14994,4.54,15052,,,,,,,,1,,,1.37,0.63,50,,,59,41,1,1,8855,12522,3498.2,3532.9,"Rare Event Detection Experiment",,,,5.2,4,,,,,,,1.19,0.81,,,54.6,45.4,
"D06",Rare Event Detection,"RED","YC201117S",Ch1Unknown,"N1","Manual",4.4,One-Step RT-ddPCR Kit for Probes,88,,,5.8,3.2,46,12380,46,0,0,12380,4.36,12426,,,,,,,,1,,,1.41,0.59,50,,,60,40,1,1,8855,12389,3493.2,3526.1,"Rare Event Detection Experiment",,,,5,3.8,,,,,,,1.21,0.79,,,55,45,
"D07",Rare Event Detection,"RED","YC201117S-",Ch1Unknown,"N1","Manual",0.7,One-Step RT-ddPCR Kit for Probes,14,,,3.1,0,1,1796,0,1,0,1796,0,1797,,,,,,,,,,,,,,,,,,1,1,8855,9374.2,2064.1,2068.2,"Rare Event Detection Experiment",,,,1.6,0.2,,,,,,,,,,,,,
