Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"G01",Rare Event Detection,"RED","POS 2",Ch1Positive Control,"N1","Manual",73.2,One-Step RT-ddPCR Kit for Probes,1464,,,77.9,70.9,960,14951,955,5,3,14948,72.8,15911,,,,,,,,,,,,,,,,,,1,1,7300,20098,3401.3,4408.7,"Rare Event Detection Experiment",,,,76,0,,,,,,,,,,,,,
"G02",Rare Event Detection,"RED","NEG 1",Ch1Negative Control,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.25,0,0,14036,0,0,0,14036,0,14036,,,,,,,,,,,,,,,,,,1,1,7300,0,3417.8,3417.8,"Rare Event Detection Experiment",,,,0.11,0,,,,,,,,,,,,,
"G03",Rare Event Detection,"RED","NEG 3",Ch1Negative Control,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.24,0,0,14852,0,0,0,14852,0,14852,,,,,,,,,,,,,,,,,,1,1,7300,0,3432.8,3432.8,"Rare Event Detection Experiment",,,,0.11,0,,,,,,,,,,,,,
"G04",Rare Event Detection,"RED","NTC",Ch1NTC,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.2,0,0,17921,0,0,0,17921,0,17921,,,,,,,,,,,,,,,,,,1,1,7300,0,3356.1,3356.1,"Rare Event Detection Experiment",,,,0.09,0,,,,,,,,,,,,,
"H01",Rare Event Detection,"RED","POS 2",Ch1Positive Control,"N1","Manual",70.1,One-Step RT-ddPCR Kit for Probes,1402,,,74.5,67.9,989,16106,981,8,0,16106,69.5,17095,,,,,,,,,,,,,,,,,,1,1,7300,20047,3319.7,4287.5,"Rare Event Detection Experiment",,,,72,0,,,,,,,,,,,,,
"H02",Rare Event Detection,"RED","NEG 1",Ch1Negative Control,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,1.6,0,0,2138,0,0,1,2137,0,2138,,,,,,,,,,,,,,,,,,1,1,7300,0,3389,3389,"Rare Event Detection Experiment",,,,0.75,0,,,,,,,,,,,,,
"H03",Rare Event Detection,"RED","NEG 3",Ch1Negative Control,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,1.3,0,0,2632,0,0,1,2631,0,2632,,,,,,,,,,,,,,,,,,1,1,7300,0,3407.6,3407.6,"Rare Event Detection Experiment",,,,0.61,0,,,,,,,,,,,,,
"H04",Rare Event Detection,"RED","NTC",Ch1NTC,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.18,0,0,19995,0,0,0,19995,0,19995,,,,,,,,,,,,,,,,,,1,1,7300,0,3354.3,3354.3,"Rare Event Detection Experiment",,,,0.081,0,,,,,,,,,,,,,
"A01",Rare Event Detection,"RED","YC210224S",Ch2Unknown,"N2","Manual",0.68,One-Step RT-ddPCR Kit for Probes,13.6,,,1.23,0.32,9,15603,9,0,0,15603,0.678,15612,,,,,,,,1,,,1.9,0.1,50,,,74,26,1,1,942,1347.3,677.7,678.09,"Rare Event Detection Experiment",,,,0.93,0.48,,,,,,,1.47,0.53,,,62,38,
"A02",Rare Event Detection,"RED","YC210224S",Ch2Unknown,"N2","Manual",0.72,One-Step RT-ddPCR Kit for Probes,14.4,,,1.27,0.36,10,16296,10,0,0,16296,0.722,16306,,,,,,,,1,,,1.9,0.1,50,,,72,28,1,1,942,1263.1,678.83,679.19,"Rare Event Detection Experiment",,,,0.98,0.52,,,,,,,1.45,0.55,,,61,39,
