Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"C02",Rare Event Detection,"RED","YC201203S 2X-",Ch1Unknown,"N1","Manual",0.51,One-Step RT-ddPCR Kit for Probes,10.2,,,1.04,0.2,6,13930,6,0,0,13930,0.507,13936,,,,,,,,1,,,2.2,0,50,,,79,21,1,1,4775,11709,3463.2,3466.7,"Rare Event Detection Experiment",,,,0.74,0.33,,,,,,,1.6,0.4,,,65,35,
"C03",Rare Event Detection,"RED","YC201203S 2X",Ch1Unknown,"N1","Manual",0.73,One-Step RT-ddPCR Kit for Probes,14.6,,,1.28,0.36,10,16137,10,0,0,16137,0.729,16147,,,,,,,,1,,,1.9,0.1,50,,,72,28,1,1,5116,12982,3735.8,3741.5,"Rare Event Detection Experiment",,,,0.99,0.52,,,,,,,1.45,0.55,,,61,39,
"C04",Rare Event Detection,"RED","YC201203S 2X",Ch1Unknown,"N1","Manual",0.59,One-Step RT-ddPCR Kit for Probes,11.8,,,1.11,0.27,8,15881,8,0,0,15881,0.592,15889,,,,,,,,1,,,2,0,50,,,75,25,1,1,4775,13166,3518.4,3523.3,"Rare Event Detection Experiment",,,,0.83,0.41,,,,,,,1.5,0.5,,,63,37,
"C05",Rare Event Detection,"RED","YC201203S 5X-",Ch1Unknown,"N1","Manual",5.6,One-Step RT-ddPCR Kit for Probes,112,,,6.9,4.5,85,17762,82,3,0,17762,5.42,17847,,,,,,,,1.04,,,1.35,0.72,51,,,59,43,1,1,5116,12432,3640.5,3682.4,"Rare Event Detection Experiment",,,,6.2,5,,,,,,,1.2,0.88,,,54.8,47,
"C06",Rare Event Detection,"RED","YC201203S 5X-",Ch1Unknown,"N1","Manual",4.5,One-Step RT-ddPCR Kit for Probes,90,,,5.7,3.5,65,16935,64,1,0,16935,4.44,17000,,,,,,,,1.02,,,1.37,0.66,50,,,59,42,1,1,4775,12479,3701.3,3734.9,"Rare Event Detection Experiment",,,,5.1,4,,,,,,,1.19,0.84,,,54.8,46,
"C07",Rare Event Detection,"RED","YC201203S 5X",Ch1Unknown,"N1","Manual",4.1,One-Step RT-ddPCR Kit for Probes,82,,,5.2,3.1,60,17211,60,0,0,17211,4.09,17271,,,,,,,,1,,,1.36,0.64,50,,,59,41,1,1,4775,12817,3723,3754.6,"Rare Event Detection Experiment",,,,4.6,3.6,,,,,,,1.18,0.82,,,54.6,45.4,
"C08",Rare Event Detection,"RED","YC201203S 5X",Ch1Unknown,"N1","Manual",4.3,One-Step RT-ddPCR Kit for Probes,86,,,5.5,3.3,58,15943,58,0,0,15943,4.27,16001,,,,,,,,1,,,1.37,0.63,50,,,59,41,1,1,4775,12793,3838.4,3870.8,"Rare Event Detection Experiment",,,,4.9,3.7,,,,,,,1.19,0.81,,,54.6,45.4,
"C09",Rare Event Detection,"RED","POS 210130 2",Ch1Positive Control,"N1","Manual",55.6,One-Step RT-ddPCR Kit for Probes,1112,,,59.6,51.6,729,15063,691,38,1,15062,52.6,15792,,,,,,,,,,,,,,,,,,1,1,4775,18727,3417.3,4124,"Rare Event Detection Experiment",,,,57.7,53.5,,,,,,,,,,,,,
"C10",Rare Event Detection,"RED","NEG 210130 3",Ch1Negative Control,"N1","Manual",0.07,One-Step RT-ddPCR Kit for Probes,1.4,,,0.35,0,1,16146,0,1,0,16146,0,16147,,,,,,,,,,,,,,,,,,1,1,4775,4897.2,3428.5,3428.6,"Rare Event Detection Experiment",,,,0.18,0.02,,,,,,,,,,,,,
"D01",Rare Event Detection,"RED","YC201209S 2X-",Ch1Unknown,"N1","Manual",1.6,One-Step RT-ddPCR Kit for Probes,32,,,2.5,0.9,16,11736,16,0,0,11736,1.6,11752,,,,,,,,1,,,1.7,0.3,50,,,68,32,1,1,4775,13200,3537.3,3550.5,"Rare Event Detection Experiment",,,,2.04,1.23,,,,,,,1.35,0.65,,,59,41,
"D02",Rare Event Detection,"RED","YC201209S 2X-",Ch1Unknown,"N1","Manual",1.1,One-Step RT-ddPCR Kit for Probes,22,,,1.8,0.6,14,14573,14,0,0,14573,1.13,14587,,,,,,,,1,,,1.8,0.2,50,,,69,31,1,1,5172,13749,3908.4,3917.9,"Rare Event Detection Experiment",,,,1.46,0.85,,,,,,,1.38,0.62,,,59,41,
"D03",Rare Event Detection,"RED","YC201209S 2X",Ch1Unknown,"N1","Manual",0.33,One-Step RT-ddPCR Kit for Probes,6.6,,,0.78,0.1,4,14164,4,0,0,14164,0.332,14168,,,,,,,,1,,,2.5,0,50,,,86,14,1,1,4775,12834,3439.3,3441.9,"Rare Event Detection Experiment",,,,0.53,0.19,,,,,,,1.7,0.3,,,68,32,
"D04",Rare Event Detection,"RED","YC201209S 2X",Ch1Unknown,"N1","Manual",0.24,One-Step RT-ddPCR Kit for Probes,4.8,,,0.62,0.06,3,14980,3,0,0,14980,0.236,14983,,,,,,,,1,,,2.7,0,50,,,93,7,1,1,4775,13197,3507.8,3509.7,"Rare Event Detection Experiment",,,,0.4,0.12,,,,,,,1.8,0.2,,,71,29,
"D05",Rare Event Detection,"RED","YC201209S 5X-",Ch1Unknown,"N1","Manual",4.7,One-Step RT-ddPCR Kit for Probes,94,,,6,3.6,61,15150,60,1,0,15150,4.65,15211,,,,,,,,1.02,,,1.38,0.65,50,,,59,41,1,1,5116,12968,3717.4,3754.5,"Rare Event Detection Experiment",,,,5.4,4.1,,,,,,,1.2,0.83,,,55,45.9,
"D06",Rare Event Detection,"RED","YC201209S 5X-",Ch1Unknown,"N1","Manual",3.7,One-Step RT-ddPCR Kit for Probes,74,,,4.9,2.8,47,14790,47,0,0,14790,3.73,14837,,,,,,,,1,,,1.41,0.59,50,,,60,40,1,1,4775,12745,3711.6,3740.2,"Rare Event Detection Experiment",,,,4.3,3.2,,,,,,,1.21,0.79,,,55,45,
"D07",Rare Event Detection,"RED","YC201209S 5X",Ch1Unknown,"N1","Manual",4.2,One-Step RT-ddPCR Kit for Probes,84,,,5.4,3.2,59,16511,58,1,0,16511,4.13,16570,,,,,,,,1.02,,,1.39,0.65,50,,,60,41,1,1,4775,12791,3698.6,3730.9,"Rare Event Detection Experiment",,,,4.8,3.7,,,,,,,1.21,0.83,,,55,45.8,
"D08",Rare Event Detection,"RED","YC201209S 5X",Ch1Unknown,"N1","Manual",4.1,One-Step RT-ddPCR Kit for Probes,82,,,5.3,3.2,57,16168,56,1,0,16168,4.07,16225,,,,,,,,1.02,,,1.4,0.64,50,,,60,41,1,1,4775,12390,3625.4,3656.2,"Rare Event Detection Experiment",,,,4.7,3.6,,,,,,,1.21,0.83,,,55.1,45.7,
"D09",Rare Event Detection,"RED","POS 210130 2",Ch1Positive Control,"N1","Manual",57,One-Step RT-ddPCR Kit for Probes,1140,,,60.9,53,806,16250,771,35,0,16250,54.4,17056,,,,,,,,,,,,,,,,,,1,1,4775,18926,3482.6,4212.4,"Rare Event Detection Experiment",,,,59,54.9,,,,,,,,,,,,,
"D10",Rare Event Detection,"RED","NEG 210130 3",Ch1Negative Control,"N1","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.21,0,0,16938,0,0,0,16938,0,16938,,,,,,,,,,,,,,,,,,1,1,4775,0,3490.5,3490.5,"Rare Event Detection Experiment",,,,0.095,0,,,,,,,,,,,,,
"E01",Rare Event Detection,"RED","YC201210S 2X-",Ch1Unknown,"N1","Manual",0.48,One-Step RT-ddPCR Kit for Probes,9.6,,,0.99,0.19,6,14552,5,1,0,14552,0.404,14558,,,,,,,,1.2,,,2.7,0,55,,,85,24,1,1,4775,10633,3297.6,3300.6,"Rare Event Detection Experiment",,,,0.71,0.31,,,,,,,1.9,0.5,,,70,39,
"E02",Rare Event Detection,"RED","YC201210S 2X-",Ch1Unknown,"N1","Manual",0.8,One-Step RT-ddPCR Kit for Probes,16,,,1.5,0.4,11,15255,11,0,0,15255,0.848,15266,,,,,,,,1,,,1.9,0.1,50,,,71,29,1,1,4775,11948,3491.1,3497.2,"Rare Event Detection Experiment",,,,1.13,0.62,,,,,,,1.43,0.57,,,61,39,
"E03",Rare Event Detection,"RED","YC201210S 2X",Ch1Unknown,"N1","Manual",0.57,One-Step RT-ddPCR Kit for Probes,11.4,,,1.11,0.24,7,14435,7,0,0,14435,0.57,14442,,,,,,,,1,,,2.1,0,50,,,77,23,1,1,4775,12288,3487.4,3491.7,"Rare Event Detection Experiment",,,,0.82,0.38,,,,,,,1.5,0.5,,,64,36,
"E04",Rare Event Detection,"RED","YC201210S 2X",Ch1Unknown,"N1","Manual",1.1,One-Step RT-ddPCR Kit for Probes,22,,,1.8,0.6,14,15229,14,0,1,15228,1.08,15243,,,,,,,,0.9,,,1.6,0.2,48,,,67,30,1,1,4775,11864,3545,3552.7,"Rare Event Detection Experiment",,,,1.4,0.82,,,,,,,1.28,0.59,,,58,39,
"E05",Rare Event Detection,"RED","YC201210S 5X-",Ch1Unknown,"N1","Manual",4.1,One-Step RT-ddPCR Kit for Probes,82,,,5.2,3.1,55,15938,54,1,0,15938,3.98,15993,,,,,,,,1.02,,,1.4,0.63,50,,,60,41,1,1,5116,12494,3704.8,3735.1,"Rare Event Detection Experiment",,,,4.6,3.5,,,,,,,1.21,0.82,,,55.2,45.7,
"E06",Rare Event Detection,"RED","YC201210S 5X-",Ch1Unknown,"N1","Manual",3.4,One-Step RT-ddPCR Kit for Probes,68,,,4.5,2.5,49,16841,49,0,0,16841,3.42,16890,,,,,,,,1,,,1.4,0.6,50,,,60,40,1,1,5116,13212,3900.3,3927.4,"Rare Event Detection Experiment",,,,3.93,2.95,,,,,,,1.2,0.8,,,55,45,
"E07",Rare Event Detection,"RED","YC201210S 5X",Ch1Unknown,"N1","Manual",4.8,One-Step RT-ddPCR Kit for Probes,96,,,6.2,3.7,61,14817,61,0,1,14816,4.83,14878,,,,,,,,0.98,,,1.33,0.63,50,,,58,41,1,1,4775,12679,3698.6,3735.5,"Rare Event Detection Experiment",,,,5.5,4.2,,,,,,,1.16,0.81,,,54.1,45.1,
"E08",Rare Event Detection,"RED","YC201210S 5X",Ch1Unknown,"N1","Manual",3.9,One-Step RT-ddPCR Kit for Probes,78,,,5,2.9,54,16358,54,0,0,16358,3.88,16412,,,,,,,,1,,,1.38,0.62,50,,,59,41,1,1,4775,12395,3786.1,3814.5,"Rare Event Detection Experiment",,,,4.4,3.4,,,,,,,1.19,0.81,,,54.8,45.2,
"E09",Rare Event Detection,"RED","POS 210130 3",Ch1Positive Control,"N1","Manual",67.4,One-Step RT-ddPCR Kit for Probes,1348,,,71.9,63,887,15042,859,28,0,15042,65.2,15929,,,,,,,,,,,,,,,,,,1,1,4775,18939,3403,4268.1,"Rare Event Detection Experiment",,,,69.7,65.1,,,,,,,,,,,,,
"E10",Rare Event Detection,"RED","COV",Ch1Positive Control,"N1","Manual",0.4,One-Step RT-ddPCR Kit for Probes,8,,,0.82,0.16,6,17506,5,1,0,17506,0.336,17512,,,,,,,,,,,,,,,,,,1,1,4775,15982,3443.7,3448,"Rare Event Detection Experiment",,,,0.59,0.26,,,,,,,,,,,,,
"F01",Rare Event Detection,"RED","YC201211S 2X-",Ch1Unknown,"N1","Manual",1.8,One-Step RT-ddPCR Kit for Probes,36,,,2.7,1.2,22,14266,22,0,0,14266,1.81,14288,,,,,,,,1,,,1.6,0.4,50,,,65,35,1,1,4775,12304,3264.3,3278.2,"Rare Event Detection Experiment",,,,2.23,1.45,,,,,,,1.3,0.7,,,58,42,
"F02",Rare Event Detection,"RED","YC201211S 2X-",Ch1Unknown,"N1","Manual",0.72,One-Step RT-ddPCR Kit for Probes,14.4,,,1.31,0.35,9,14610,9,0,1,14609,0.725,14619,,,,,,,,0.9,,,1.7,0.1,47,,,70,24,1,1,4775,12741,3425,3430.7,"Rare Event Detection Experiment",,,,0.99,0.51,,,,,,,1.32,0.48,,,59,36,
"F03",Rare Event Detection,"RED","YC201211S 2X",Ch1Unknown,"N1","Manual",0.26,One-Step RT-ddPCR Kit for Probes,5.2,,,0.69,0.06,3,13618,3,0,0,13618,0.259,13621,,,,,,,,1,,,2.7,0,50,,,93,7,1,1,4775,12903,3441.2,3443.3,"Rare Event Detection Experiment",,,,0.44,0.13,,,,,,,1.8,0.2,,,71,29,
"F04",Rare Event Detection,"RED","YC201211S 2X",Ch1Unknown,"N1","Manual",0.36,One-Step RT-ddPCR Kit for Probes,7.2,,,0.85,0.11,4,13020,4,0,0,13020,0.361,13024,,,,,,,,1,,,2.5,0,50,,,86,14,1,1,4775,11588,3452.6,3455.1,"Rare Event Detection Experiment",,,,0.58,0.21,,,,,,,1.7,0.3,,,68,32,
"F05",Rare Event Detection,"RED","YC201211S 5X-",Ch1Unknown,"N1","Manual",5.1,One-Step RT-ddPCR Kit for Probes,102,,,8.8,2.6,11,2528,10,1,0,2528,4.64,2539,,,,,,,,1.1,,,2.1,0.1,52,,,74,31,1,1,5116,10415,3600.8,3630.3,"Rare Event Detection Experiment",,,,6.8,3.7,,,,,,,1.58,0.62,,,63,41,
"F06",Rare Event Detection,"RED","YC201211S 5X-",Ch1Unknown,"N1","Manual",3.4,One-Step RT-ddPCR Kit for Probes,68,,,4.4,2.5,45,15753,44,1,0,15753,3.28,15798,,,,,,,,1.02,,,1.45,0.6,51,,,61,40,1,1,4775,12942,3747.7,3773.9,"Rare Event Detection Experiment",,,,3.88,2.88,,,,,,,1.24,0.81,,,56,45,
"F07",Rare Event Detection,"RED","YC201211S 5X",Ch1Unknown,"N1","Manual",4.5,One-Step RT-ddPCR Kit for Probes,90,,,5.7,3.4,57,14995,57,0,0,14995,4.46,15052,,,,,,,,1,,,1.37,0.63,50,,,59,41,1,1,4775,12615,3709.6,3743.3,"Rare Event Detection Experiment",,,,5.1,3.9,,,,,,,1.19,0.81,,,54.7,45.3,
"F08",Rare Event Detection,"RED","YC201211S 5X",Ch1Unknown,"N1","Manual",3.5,One-Step RT-ddPCR Kit for Probes,70,,,4.6,2.6,49,16382,46,3,0,16382,3.3,16431,,,,,,,,1.07,,,1.5,0.63,52,,,62,41,1,1,4775,12386,3677.9,3703.9,"Rare Event Detection Experiment",,,,4,3,,,,,,,1.28,0.85,,,57,46,
"F09",Rare Event Detection,"RED","POS 210130 3",Ch1Positive Control,"N1","Manual",64.1,One-Step RT-ddPCR Kit for Probes,1282,,,68.6,59.5,765,13667,734,31,0,13667,61.4,14432,,,,,,,,,,,,,,,,,,1,1,4775,19155,3477.6,4308.6,"Rare Event Detection Experiment",,,,66.4,61.8,,,,,,,,,,,,,
