Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"H03",Rare Event Detection,"RED","26YC201230S-",Ch1Unknown,"N1","Manual",2.5,One-Step RT-ddPCR Kit for Probes,50,,,3.4,1.7,36,17143,35,1,1,17142,2.4,17179,,,,,,,,1,,,1.46,0.54,50,,,62,38,1,1,8015,12296,3730.2,3748.2,"Rare Event Detection Experiment",,,,2.9,2.08,,,,,,,1.24,0.76,,,56,44,
"A04",Rare Event Detection,"RED","26YC201217S-",Ch1Unknown,"N1","Manual",4.1,One-Step RT-ddPCR Kit for Probes,82,,,5.2,3.2,65,18546,64,1,0,18546,4.05,18611,,,,,,,,1.02,,,1.37,0.66,50,,,59,42,1,1,8015,12963,3886.4,3918.1,"Rare Event Detection Experiment",,,,4.6,3.6,,,,,,,1.19,0.84,,,54.8,46,
"B04",Rare Event Detection,"RED","26YC201218S-",Ch1Unknown,"N1","Manual",2.8,One-Step RT-ddPCR Kit for Probes,56,,,3.8,2,41,17079,41,0,0,17079,2.82,17120,,,,,,,,1,,,1.44,0.56,50,,,61,39,1,1,8015,13195,3974,3996.1,"Rare Event Detection Experiment",,,,3.28,2.4,,,,,,,1.22,0.78,,,56,44,
"C04",Rare Event Detection,"RED","26YC201221S-",Ch1Unknown,"N1","Manual",2.2,One-Step RT-ddPCR Kit for Probes,44,,,3.1,1.5,32,17075,30,2,2,17073,2.06,17107,,,,,,,,1,,,1.49,0.51,50,,,62,38,1,1,8015,12527,3930.9,3946.9,"Rare Event Detection Experiment",,,,2.61,1.84,,,,,,,1.25,0.75,,,56,44,
"D04",Rare Event Detection,"RED","26YC201222S-",Ch1Unknown,"N1","Manual",3.3,One-Step RT-ddPCR Kit for Probes,66,,,4.4,2.4,45,16056,45,0,3,16053,3.29,16101,,,,,,,,0.94,,,1.32,0.55,48,,,59,38,1,1,8015,13043,3831.6,3857.4,"Rare Event Detection Experiment",,,,3.81,2.83,,,,,,,1.13,0.74,,,54,43,
"E04",Rare Event Detection,"RED","26YC201223S-",Ch1Unknown,"N1","Manual",3.2,One-Step RT-ddPCR Kit for Probes,64,,,4.3,2.3,39,14211,38,1,2,14209,3.14,14250,,,,,,,,0.97,,,1.41,0.54,49,,,60,38,1,1,8015,13035,3826.9,3852.2,"Rare Event Detection Experiment",,,,3.8,2.7,,,,,,,1.19,0.76,,,55,44,
"F04",Rare Event Detection,"RED","26YC201228S-",Ch1Unknown,"N1","Manual",1.8,One-Step RT-ddPCR Kit for Probes,36,,,2.6,1.2,23,15010,23,0,0,15010,1.8,15033,,,,,,,,1,,,1.6,0.4,50,,,65,35,1,1,8015,12935,3824.8,3838.8,"Rare Event Detection Experiment",,,,2.2,1.45,,,,,,,1.29,0.71,,,57,43,
"G04",Rare Event Detection,"RED","26YC201229S-",Ch1Unknown,"N1","Manual",2,One-Step RT-ddPCR Kit for Probes,40,,,3,1.3,24,13836,24,0,0,13836,2.04,13860,,,,,,,,1,,,1.6,0.4,50,,,64,36,1,1,8015,12467,3758.4,3773.5,"Rare Event Detection Experiment",,,,2.48,1.65,,,,,,,1.29,0.71,,,57,43,
"H04",Rare Event Detection,"RED","26YC201230S-",Ch1Unknown,"N1","Manual",2.2,One-Step RT-ddPCR Kit for Probes,44,,,3.1,1.4,26,14010,26,0,0,14010,2.18,14036,,,,,,,,1,,,1.5,0.5,50,,,64,36,1,1,8015,12782,3722.6,3739.4,"Rare Event Detection Experiment",,,,2.64,1.78,,,,,,,1.28,0.72,,,57,43,
"A05",Rare Event Detection,"RED","YC210111S",Ch1Unknown,"N1","Manual",2.3,One-Step RT-ddPCR Kit for Probes,46,,,3.2,1.6,30,15283,30,0,0,15283,2.31,15313,,,,,,,,1,,,1.5,0.5,50,,,63,37,1,1,8015,13504,3850,3869,"Rare Event Detection Experiment",,,,2.75,1.91,,,,,,,1.26,0.74,,,56,44,
