Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"C04",Rare Event Detection,"RED","YC210104S-",Ch1Unknown,"BCoV","Manual",3.1,One-Step RT-ddPCR Kit for Probes,62,,,4.1,2.2,40,15270,1,39,624,14646,0,15310,,,,,,,,0.063,,,0.083,0.043,5.9,,,7.7,4.1,1,1,5446,10159,2271.8,2292.4,"Rare Event Detection Experiment",,,,3.59,2.62,,,,,,,0.073,0.053,,,6.8,5,
"C05",Rare Event Detection,"RED","YC210121S",Ch1Unknown,"BCoV","Manual",1.7,One-Step RT-ddPCR Kit for Probes,34,,,2.5,1.1,23,15881,0,23,548,15333,0,15904,,,,,,,,0.041,,,0.059,0.024,4,,,5.6,2.4,1,1,5446,10209,2262.7,2274.2,"Rare Event Detection Experiment",,,,2.08,1.37,,,,,,,0.05,0.032,,,4.8,3.2,
"C06",Rare Event Detection,"RED","YC210121S",Ch1Unknown,"BCoV","Manual",2.4,One-Step RT-ddPCR Kit for Probes,48,,,3.3,1.7,34,16472,0,34,613,15859,0,16506,,,,,,,,0.054,,,0.073,0.036,5.2,,,6.9,3.5,1,1,5446,10282,2312,2328.4,"Rare Event Detection Experiment",,,,2.87,2.03,,,,,,,0.064,0.045,,,6,4.3,
"C07",Rare Event Detection,"RED","YC210121S-",Ch1Unknown,"BCoV","Manual",2.3,One-Step RT-ddPCR Kit for Probes,46,,,3.2,1.6,35,17852,5,30,771,17081,0.24,17887,,,,,,,,0.044,,,0.059,0.029,4.2,,,5.6,2.8,1,1,5446,10013,2270.2,2285.4,"Rare Event Detection Experiment",,,,2.72,1.94,,,,,,,0.052,0.037,,,4.9,3.5,
"C08",Rare Event Detection,"RED","YC210121S-",Ch1Unknown,"BCoV","Manual",2.9,One-Step RT-ddPCR Kit for Probes,58,,,3.8,2.1,48,19522,2,46,876,18646,0,19570,,,,,,,,0.053,,,0.069,0.038,5.1,,,6.5,3.7,1,1,5446,10271,2338.1,2357.5,"Rare Event Detection Experiment",,,,3.33,2.49,,,,,,,0.061,0.046,,,5.8,4.4,
"C09",Rare Event Detection,"RED","POS 3",Ch1Positive Control,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.2,0,0,17826,0,0,17825,1,0,17826,,,,,,,,,,,,,,,,,,1,1,5446,0,2310.3,2310.3,"Rare Event Detection Experiment",,,,0.09,0,,,,,,,,,,,,,
"C10",Rare Event Detection,"RED","BCoV 2",Ch1Positive Control,"BCoV","Manual",2620,One-Step RT-ddPCR Kit for Probes,52400,,,2680,2580,15411,1855,0,15411,0,1855,0,17266,,,,,,,,,,,,,,,,,,1,1,5446,10597,2310.8,9707.1,"Rare Event Detection Experiment",,,,2651,2599,,,,,,,,,,,,,
"D01",Rare Event Detection,"RED","YC210105S",Ch1Unknown,"BCoV","Manual",3.5,One-Step RT-ddPCR Kit for Probes,70,,,4.7,2.6,43,14378,2,41,489,13889,0.0454,14421,,,,,,,,0.086,,,0.113,0.059,7.9,,,10.2,5.6,1,1,5446,10493,2308.5,2332.9,"Rare Event Detection Experiment",,,,4.1,3,,,,,,,0.1,0.073,,,9.1,6.8,
"D02",Rare Event Detection,"RED","YC210105S",Ch1Unknown,"BCoV","Manual",3.9,One-Step RT-ddPCR Kit for Probes,78,,,5,2.9,56,16949,1,55,624,16325,0,17005,,,,,,,,0.088,,,0.112,0.064,8.1,,,10.1,6.1,1,1,5446,10598,2360.7,2387.8,"Rare Event Detection Experiment",,,,4.4,3.4,,,,,,,0.1,0.076,,,9.1,7.1,
"D03",Rare Event Detection,"RED","YC210105S-",Ch1Unknown,"BCoV","Manual",3.7,One-Step RT-ddPCR Kit for Probes,74,,,4.8,2.7,48,15259,4,44,737,14522,0.136,15307,,,,,,,,0.063,,,0.082,0.045,6,,,7.6,4.3,1,1,5446,10546,2367.2,2392.9,"Rare Event Detection Experiment",,,,4.3,3.2,,,,,,,0.073,0.054,,,6.8,5.1,
