Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"C08",Rare Event Detection,"RED","AA210413S-",Ch1Unknown,"BCoV","Manual",5.1,One-Step RT-ddPCR Kit for Probes,102,,,6.4,4.5,75,17255,4,71,1062,16193,0,17330,,,,,,,,0.068,,,0.084,0.052,6.4,,,7.8,5,1,1,4151,9155.1,2097.8,2128.3,"Rare Event Detection Experiment",,,,5.7,0,,,,,,,0.076,0.06,,,7.1,5.7,
"C09",Rare Event Detection,"RED","POS 1",Ch1Positive Control,"BCoV","Manual",8.8,One-Step RT-ddPCR Kit for Probes,176,,,10.2,8.1,151,20027,151,0,20027,0,0,20178,,,,,,,,,,,,,,,,,,1,1,4151,7348.5,2094.4,2133.8,"Rare Event Detection Experiment",,,,9.6,0,,,,,,,,,,,,,
"C10",Rare Event Detection,"RED","NEG 1",Ch1Negative Control,"BCoV","Manual",0.48,One-Step RT-ddPCR Kit for Probes,9.6,,,0.91,0.33,8,19423,0,8,72,19351,0,19431,,,,,,,,,,,,,,,,,,1,1,4151,10190,2273.7,2276.9,"Rare Event Detection Experiment",,,,0.68,0,,,,,,,,,,,,,
"C11",Rare Event Detection,"RED","BCoV 1",Ch1Positive Control,"BCoV","Manual",0.86,One-Step RT-ddPCR Kit for Probes,17.2,,,1.42,0.64,13,17727,0,13,45,17682,0,17740,,,,,,,,,,,,,,,,,,1,1,4151,10243,2297.6,2303.4,"Rare Event Detection Experiment",,,,1.1,0,,,,,,,,,,,,,
"C12",Rare Event Detection,"RED","NTC",Ch1NTC,"BCoV","Manual",0.52,One-Step RT-ddPCR Kit for Probes,10.4,,,0.98,0.36,8,17967,0,8,39,17928,0,17975,,,,,,,,,,,,,,,,,,1,1,4151,9818,2169.4,2172.8,"Rare Event Detection Experiment",,,,0.73,0,,,,,,,,,,,,,
"D01",Rare Event Detection,"RED","AA210404S",Ch1Unknown,"BCoV","Manual",3.1,One-Step RT-ddPCR Kit for Probes,62,,,4.1,2.7,48,17979,1,47,837,17142,0,18027,,,,,,,,0.056,,,0.072,0.04,5.3,,,6.8,3.8,1,1,4151,9626.6,2042.2,2062.4,"Rare Event Detection Experiment",,,,3.6,0,,,,,,,0.064,0.048,,,6,4.6,
"D02",Rare Event Detection,"RED","AA210404S",Ch1Unknown,"BCoV","Manual",2.6,One-Step RT-ddPCR Kit for Probes,52,,,3.5,2.2,41,18457,3,38,873,17584,0.0708,18498,,,,,,,,0.046,,,0.06,0.031,4.4,,,5.7,3.1,1,1,4151,9703.9,2165.3,2182,"Rare Event Detection Experiment",,,,3,0,,,,,,,0.053,0.038,,,5,3.7,
"D03",Rare Event Detection,"RED","AA210404S-",Ch1Unknown,"BCoV","Manual",11.4,One-Step RT-ddPCR Kit for Probes,228,,,13.1,10.6,184,18814,40,144,3446,15368,0.478,18998,,,,,,,,0.048,,,0.055,0.041,4.6,,,5.2,3.9,1,1,4151,9901.3,2228,2302.3,"Rare Event Detection Experiment",,,,12,0,,,,,,,0.0516,0.0444,,,4.91,4.25,
"D04",Rare Event Detection,"RED","AA210404S-",Ch1Unknown,"BCoV","Manual",3.4,One-Step RT-ddPCR Kit for Probes,68,,,4.3,2.9,59,20644,4,55,1286,19358,0.0197,20703,,,,,,,,0.044,,,0.056,0.033,4.2,,,5.3,3.2,1,1,4151,9843.4,2201.7,2223.5,"Rare Event Detection Experiment",,,,3.8,0,,,,,,,0.05,0.038,,,4.8,3.7,
"D05",Rare Event Detection,"RED","AA210414S",Ch1Unknown,"BCoV","Manual",2.2,One-Step RT-ddPCR Kit for Probes,44,,,3.1,1.9,36,18821,1,35,1326,17495,0,18857,,,,,,,,0.026,,,0.035,0.017,2.6,,,3.4,1.7,1,1,4151,9535.7,2152.8,2166.9,"Rare Event Detection Experiment",,,,2.6,0,,,,,,,0.0306,0.0218,,,2.97,2.13,
