Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"C06",Rare Event Detection,"RED","AA210501S",Ch1Unknown,"BCoV","Manual",0.21,One-Step RT-ddPCR Kit for Probes,4.2,,,0.56,0.11,3,16605,0,3,0,16605,0,16608,,,,,,,,,,,,,,,,,,1,1,4066,9175.7,3015.4,3016.5,"Rare Event Detection Experiment",,,,0.36,0,,,,,,,,,,,,,
"C07",Rare Event Detection,"RED","AA210501S-",Ch1Unknown,"BCoV","Manual",4.6,One-Step RT-ddPCR Kit for Probes,92,,,5.8,4.1,64,16325,5,59,1255,15070,0.00622,16389,,,,,,,,0.049,,,0.061,0.037,4.7,,,5.8,3.5,1,1,3594,8207.7,2197.7,2221.2,"Rare Event Detection Experiment",,,,5.2,0,,,,,,,0.055,0.043,,,5.2,4.1,
"C08",Rare Event Detection,"RED","AA210501S-",Ch1Unknown,"BCoV","Manual",3.9,One-Step RT-ddPCR Kit for Probes,78,,,4.9,3.5,68,20422,6,62,1422,19000,0.0781,20490,,,,,,,,0.046,,,0.057,0.035,4.4,,,5.4,3.4,1,1,3594,7955.1,2132.2,2151.5,"Rare Event Detection Experiment",,,,4.4,0,,,,,,,0.052,0.04,,,4.9,3.9,
"C09",Rare Event Detection,"RED","NTC",Ch1NTC,"BCoV","Manual",0.63,One-Step RT-ddPCR Kit for Probes,12.6,,,1.08,0.46,11,20611,0,11,62,20549,0,20622,,,,,,,,,,,,,,,,,,1,1,3594,8152.6,2136.1,2139.3,"Rare Event Detection Experiment",,,,0.84,0,,,,,,,,,,,,,
"D01",Rare Event Detection,"RED","AA210424S",Ch1Unknown,"BCoV","Manual",4,One-Step RT-ddPCR Kit for Probes,80,,,5.3,3.5,45,13121,4,41,1070,12051,0.0321,13166,,,,,,,,0.04,,,0.052,0.028,3.9,,,5,2.8,1,1,3594,8099.3,2151.1,2171.5,"Rare Event Detection Experiment",,,,4.7,0,,,,,,,0.046,0.034,,,4.4,3.3,
"D02",Rare Event Detection,"RED","AA210424S",Ch1Unknown,"BCoV","Manual",4.5,One-Step RT-ddPCR Kit for Probes,90,,,5.7,3.9,58,15212,8,50,1260,13952,0.268,15270,,,,,,,,0.044,,,0.056,0.032,4.2,,,5.3,3.1,1,1,3594,8227.6,2161.6,2184.6,"Rare Event Detection Experiment",,,,5.1,0,,,,,,,0.05,0.038,,,4.7,3.7,
"D03",Rare Event Detection,"RED","AA210424S-",Ch1Unknown,"BCoV","Manual",4.9,One-Step RT-ddPCR Kit for Probes,98,,,6.1,4.3,71,17133,7,64,1652,15481,0.0117,17204,,,,,,,,0.041,,,0.051,0.031,3.9,,,4.8,3,1,1,3594,8303.7,2185.4,2210.6,"Rare Event Detection Experiment",,,,5.5,0,,,,,,,0.0457,0.0358,,,4.37,3.46,
"D04",Rare Event Detection,"RED","AA210424S-",Ch1Unknown,"BCoV","Manual",4.4,One-Step RT-ddPCR Kit for Probes,88,,,5.5,3.8,65,17522,10,55,1540,15982,0.314,17587,,,,,,,,0.04,,,0.05,0.03,3.9,,,4.8,2.9,1,1,3594,8215.4,2182.4,2204.6,"Rare Event Detection Experiment",,,,4.9,0,,,,,,,0.045,0.035,,,4.33,3.39,
"D05",Rare Event Detection,"RED","AA210502S",Ch1Unknown,"BCoV","Manual",3.5,One-Step RT-ddPCR Kit for Probes,70,,,4.6,3,47,15759,1,46,850,14909,0,15806,,,,,,,,0.054,,,0.07,0.038,5.1,,,6.5,3.7,1,1,3594,8011.6,2156.9,2174.3,"Rare Event Detection Experiment",,,,4,0,,,,,,,0.062,0.046,,,5.8,4.4,
"D06",Rare Event Detection,"RED","AA210502S",Ch1Unknown,"BCoV","Manual",5.5,One-Step RT-ddPCR Kit for Probes,110,,,6.7,4.9,96,20539,10,86,1962,18577,0.0523,20635,,,,,,,,0.046,,,0.056,0.037,4.4,,,5.3,3.6,1,1,3594,7021.3,1600.4,1625.7,"Rare Event Detection Experiment",,,,6.1,0,,,,,,,0.0513,0.0416,,,4.88,3.99,
"D07",Rare Event Detection,"RED","AA210502S-",Ch1Unknown,"BCoV","Manual",4.7,One-Step RT-ddPCR Kit for Probes,94,,,5.9,4.2,72,17965,5,67,886,17079,0.0994,18037,,,,,,,,0.079,,,0.098,0.06,7.3,,,9,5.7,1,1,3594,8049,2183,2206.4,"Rare Event Detection Experiment",,,,5.3,0,,,,,,,0.089,0.069,,,8.1,6.5,
"D08",Rare Event Detection,"RED","AA210502S-",Ch1Unknown,"BCoV","Manual",4,One-Step RT-ddPCR Kit for Probes,80,,,5.1,3.6,72,20888,3,69,1071,19817,0,20960,,,,,,,,0.065,,,0.081,0.05,6.1,,,7.5,4.8,1,1,3594,8077.5,2155.8,2176.1,"Rare Event Detection Experiment",,,,4.5,0,,,,,,,0.073,0.057,,,6.8,5.4,
"D09",Rare Event Detection,"RED","NTC",Ch1NTC,"BCoV","Manual",0.86,One-Step RT-ddPCR Kit for Probes,17.2,,,1.38,0.66,15,20467,0,15,69,20398,0,20482,,,,,,,,,,,,,,,,,,1,1,3594,8154.6,2150.4,2154.8,"Rare Event Detection Experiment",,,,1.1,0,,,,,,,,,,,,,
"E01",Rare Event Detection,"RED","AA210425S",Ch1Unknown,"BCoV","Manual",7,One-Step RT-ddPCR Kit for Probes,140,,,8.3,6.3,108,18202,13,95,2259,15943,0,18310,,,,,,,,0.045,,,0.053,0.036,4.3,,,5.1,3.5,1,1,3594,7912.2,2053,2087.6,"Rare Event Detection Experiment",,,,7.6,0,,,,,,,0.0491,0.0403,,,4.68,3.87,
"E02",Rare Event Detection,"RED","AA210425S",Ch1Unknown,"BCoV","Manual",6.6,One-Step RT-ddPCR Kit for Probes,132,,,8.1,5.9,82,14605,12,70,1783,12822,0.182,14687,,,,,,,,0.043,,,0.053,0.033,4.1,,,5,3.2,1,1,3594,8099.3,2096,2129.6,"Rare Event Detection Experiment",,,,7.3,0,,,,,,,0.0478,0.0381,,,4.56,3.67,
"E03",Rare Event Detection,"RED","AA210425S-",Ch1Unknown,"BCoV","Manual",7.1,One-Step RT-ddPCR Kit for Probes,142,,,8.3,6.4,116,19275,15,101,2270,17005,0.0921,19391,,,,,,,,0.048,,,0.057,0.039,4.6,,,5.4,3.8,1,1,3594,8080.1,2126.2,2161.8,"Rare Event Detection Experiment",,,,7.7,0,,,,,,,0.0524,0.0433,,,4.98,4.15,
"E04",Rare Event Detection,"RED","AA210425S-",Ch1Unknown,"BCoV","Manual",8,One-Step RT-ddPCR Kit for Probes,160,,,9.5,7.3,112,16316,8,104,1982,14334,0,16428,,,,,,,,0.053,,,0.063,0.043,5,,,5.9,4.1,1,1,3594,7956.3,2103,2142.9,"Rare Event Detection Experiment",,,,8.8,0,,,,,,,0.058,0.048,,,5.5,4.57,
"E05",Rare Event Detection,"RED","POS 1",Ch1Positive Control,"BCoV","Manual",6.4,One-Step RT-ddPCR Kit for Probes,128,,,7.6,5.8,114,20862,114,0,20862,0,0,20976,,,,,,,,,,,,,,,,,,1,1,3594,7862.8,2129.8,2161,"Rare Event Detection Experiment",,,,7,0,,,,,,,,,,,,,
"E06",Rare Event Detection,"RED","POS 3",Ch1Positive Control,"BCoV","Manual",10.3,One-Step RT-ddPCR Kit for Probes,206,,,11.9,9.5,171,19370,171,0,19370,0,0,19541,,,,,,,,,,,,,,,,,,1,1,3594,7790.2,2153.1,2202.4,"Rare Event Detection Experiment",,,,11,0,,,,,,,,,,,,,
