Well,ExptType,Experiment,Sample,TargetType,Target,Status,Concentration,Supermix,CopiesPer20uLWell,TotalConfMax,TotalConfMin,PoissonConfMax,PoissonConfMin,Positives,Negatives,Ch1+Ch2+,Ch1+Ch2-,Ch1-Ch2+,Ch1-Ch2-,Linkage,AcceptedDroplets,CNV,TotalCNVMax,TotalCNVMin,PoissonCNVMax,PoissonCNVMin,ReferenceCopies,UnknownCopies,Ratio,TotalRatioMax,TotalRatioMin,PoissonRatioMax,PoissonRatioMin,FractionalAbundance,TotalFractionalAbundanceMax,TotalFractionalAbundanceMin,PoissonFractionalAbundanceMax,PoissonFractionalAbundanceMin,ReferenceAssayNumber,TargetAssayNumber,Threshold,MeanAmplitudeofPositives,MeanAmplitudeofNegatives,MeanAmplitudeTotal,ExperimentComments,MergedWells,TotalConfMax68,TotalConfMin68,PoissonConfMax68,PoissonConfMin68,TotalCNVMax68,TotalCNVMin68,PoissonCNVMax68,PoissonCNVMin68,TotalRatioMax68,TotalRatioMin68,PoissonRatioMax68,PoissonRatioMin68,TotalFractionalAbundanceMax68,TotalFractionalAbundanceMin68,PoissonFractionalAbundanceMax68,PoissonFractionalAbundanceMin68
"E04",Rare Event Detection,"RED","YC210211S-",Ch1Unknown,"BCoV","Manual",2.1,One-Step RT-ddPCR Kit for Probes,42,,,3,1.4,26,14665,0,26,614,14051,0,14691,,,,,,,,0.041,,,0.058,0.025,4,,,5.5,2.5,1,1,5229,9140.8,2588.9,2600.5,"Rare Event Detection Experiment",,,,2.52,1.7,,,,,,,0.05,0.033,,,4.7,3.2,
"E05",Rare Event Detection,"RED","NTC",Ch1NTC,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.19,0,0,18772,0,0,2,18770,0,18772,,,,,,,,,,,,,,,,,,1,1,5229,0,2579.1,2579.1,"Rare Event Detection Experiment",,,,0.086,0,,,,,,,,,,,,,
"F01",Rare Event Detection,"RED","YC210216S",Ch1Unknown,"BCoV","Manual",2.4,One-Step RT-ddPCR Kit for Probes,48,,,3.4,1.6,29,14356,1,28,289,14067,0.0347,14385,,,,,,,,0.099,,,0.137,0.061,9,,,12.2,5.9,1,1,5229,9253.8,2606.7,2620.1,"Rare Event Detection Experiment",,,,2.84,1.96,,,,,,,0.118,0.08,,,10.6,7.4,
"F02",Rare Event Detection,"RED","YC210216S",Ch1Unknown,"BCoV","Manual",1.8,One-Step RT-ddPCR Kit for Probes,36,,,2.6,1.2,25,16066,0,25,303,15763,0,16091,,,,,,,,0.082,,,0.115,0.048,7.6,,,10.4,4.7,1,1,5229,9151.4,2580.5,2590.7,"Rare Event Detection Experiment",,,,2.22,1.49,,,,,,,0.099,0.065,,,9,6.1,
"F03",Rare Event Detection,"RED","YC210216S-",Ch1Unknown,"BCoV","Manual",2.9,One-Step RT-ddPCR Kit for Probes,58,,,3.9,2.1,38,15550,5,33,358,15192,0.319,15588,,,,,,,,0.104,,,0.138,0.069,9.4,,,12.2,6.5,1,1,5229,9050.5,2565.3,2581.1,"Rare Event Detection Experiment",,,,3.36,2.43,,,,,,,0.121,0.086,,,10.8,7.9,
"F04",Rare Event Detection,"RED","YC210216S-",Ch1Unknown,"BCoV","Manual",3,One-Step RT-ddPCR Kit for Probes,60,,,3.9,2.2,46,18116,2,44,440,17676,0.0586,18162,,,,,,,,0.103,,,0.134,0.072,9.3,,,11.9,6.8,1,1,5229,9219.7,2638.6,2655.3,"Rare Event Detection Experiment",,,,3.44,2.57,,,,,,,0.119,0.087,,,10.6,8,
"F05",Rare Event Detection,"RED","NTC",Ch1NTC,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.22,0,0,16032,0,0,0,16032,0,16032,,,,,,,,,,,,,,,,,,1,1,5229,0,2548.4,2548.4,"Rare Event Detection Experiment",,,,0.1,0,,,,,,,,,,,,,
"G01",Rare Event Detection,"RED","POS 1",Ch1Positive Control,"BCoV","Manual",4.8,One-Step RT-ddPCR Kit for Probes,96,,,6.1,3.7,59,14472,59,0,14472,0,0,14531,,,,,,,,,,,,,,,,,,1,1,5229,9643.5,2630.8,2659.2,"Rare Event Detection Experiment",,,,5.4,4.2,,,,,,,,,,,,,
"G02",Rare Event Detection,"RED","POS 2",Ch1Positive Control,"BCoV","Manual",4.7,One-Step RT-ddPCR Kit for Probes,94,,,5.8,3.7,75,18843,75,0,18843,0,0,18918,,,,,,,,,,,,,,,,,,1,1,5229,9400.8,2566.9,2593.9,"Rare Event Detection Experiment",,,,5.2,4.2,,,,,,,,,,,,,
"G03",Rare Event Detection,"RED","NEG 1",Ch1Negative Control,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.21,0,0,16422,0,0,1,16421,0,16422,,,,,,,,,,,,,,,,,,1,1,5229,0,2679.4,2679.4,"Rare Event Detection Experiment",,,,0.098,0,,,,,,,,,,,,,
"G04",Rare Event Detection,"RED","NEG 2",Ch1Negative Control,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.2,0,0,17683,0,0,1,17682,0,17683,,,,,,,,,,,,,,,,,,1,1,5229,0,2659.5,2659.5,"Rare Event Detection Experiment",,,,0.091,0,,,,,,,,,,,,,
"G05",Rare Event Detection,"RED","NTC",Ch1NTC,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.2,0,0,17807,0,0,1,17806,0,17807,,,,,,,,,,,,,,,,,,1,1,5229,0,2633,2633,"Rare Event Detection Experiment",,,,0.09,0,,,,,,,,,,,,,
"H01",Rare Event Detection,"RED","POS 1",Ch1Positive Control,"BCoV","Manual",4.1,One-Step RT-ddPCR Kit for Probes,82,,,5.4,3,45,12950,45,0,12950,0,0,12995,,,,,,,,,,,,,,,,,,1,1,5229,9802.4,2519,2544.2,"Rare Event Detection Experiment",,,,4.7,3.5,,,,,,,,,,,,,
"H02",Rare Event Detection,"RED","POS 2",Ch1Positive Control,"BCoV","Manual",5.3,One-Step RT-ddPCR Kit for Probes,106,,,6.7,4.1,69,15284,69,0,15284,0,0,15353,,,,,,,,,,,,,,,,,,1,1,5229,9655.2,2534.4,2566.4,"Rare Event Detection Experiment",,,,6,4.7,,,,,,,,,,,,,
"H03",Rare Event Detection,"RED","NEG 1",Ch1Negative Control,"BCoV","Manual",0.07,One-Step RT-ddPCR Kit for Probes,1.4,,,0.35,0,1,15917,1,0,4,15913,0.0739,15918,,,,,,,,,,,,,,,,,,1,1,5229,7761,2567.2,2567.5,"Rare Event Detection Experiment",,,,0.18,0.02,,,,,,,,,,,,,
"H04",Rare Event Detection,"RED","NEG 2",Ch1Negative Control,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.23,0,0,15556,0,0,4,15552,0,15556,,,,,,,,,,,,,,,,,,1,1,5229,0,2678.2,2678.2,"Rare Event Detection Experiment",,,,0.1,0,,,,,,,,,,,,,
"H05",Rare Event Detection,"RED","NTC",Ch1NTC,"BCoV","Manual",0,One-Step RT-ddPCR Kit for Probes,0,,,0.21,0,0,16476,0,0,0,16476,0,16476,,,,,,,,,,,,,,,,,,1,1,5229,0,2458.9,2458.9,"Rare Event Detection Experiment",,,,0.098,0,,,,,,,,,,,,,
"A01",Rare Event Detection,"RED","YC210205S",Ch2Unknown,"PMMoV","Manual",24.6,One-Step RT-ddPCR Kit for Probes,492,,,27.4,21.9,309,14608,0,31,309,14577,0,14917,,,,,,,,0.099,,,0.136,0.062,9,,,12.1,6,1,1,2352,2855.1,1958.2,1976.8,"Rare Event Detection Experiment",,,,26,23.2,,,,,,,0.118,0.081,,,10.6,7.5,
"A02",Rare Event Detection,"RED","YC210205S",Ch2Unknown,"PMMoV","Manual",9.1,One-Step RT-ddPCR Kit for Probes,182,,,10.7,7.5,124,15912,2,13,122,15899,0.139,16036,,,,,,,,0.12,,,0.19,0.06,11,,,16,6,1,1,2451,2784,2133,2138,"Rare Event Detection Experiment",,,,10,8.3,,,,,,,0.154,0.088,,,13.4,8.1,
"A03",Rare Event Detection,"RED","YC210205S-",Ch2Unknown,"PMMoV","Manual",58,One-Step RT-ddPCR Kit for Probes,1160,,,61.8,54.2,881,17430,2,44,879,17386,0,18311,,,,,,,,0.051,,,0.066,0.036,4.9,,,6.2,3.5,1,1,2352,2930,1689.3,1749,"Rare Event Detection Experiment",,,,60,56.1,,,,,,,0.059,0.043,,,5.6,4.2,
"A04",Rare Event Detection,"RED","YC210205S-",Ch2Unknown,"PMMoV","Manual",54,One-Step RT-ddPCR Kit for Probes,1080,,,57.7,50.3,801,17054,1,48,800,17006,0,17855,,,,,,,,0.06,,,0.077,0.043,5.6,,,7.2,4.1,1,1,2352,2852.8,1652.2,1706.1,"Rare Event Detection Experiment",,,,55.9,52.1,,,,,,,0.069,0.051,,,6.4,4.9,
"A05",Rare Event Detection,"RED","BCoV 1",Ch2Negative Control,"PMMoV","Manual",0.06,One-Step RT-ddPCR Kit for Probes,1.2,,,0.3,0,1,18740,1,17184,0,1556,0.0628,18741,,,,,,,,,,,,,,,,,,1,1,2352,3243.7,1657.8,1657.9,"Rare Event Detection Experiment",,,,0.16,0.02,,,,,,,,,,,,,
"B01",Rare Event Detection,"RED","YC210208S",Ch2Unknown,"PMMoV","Manual",40.5,One-Step RT-ddPCR Kit for Probes,810,,,43.8,37.1,566,16171,0,38,566,16133,0,16737,,,,,,,,0.066,,,0.088,0.044,6.2,,,8.1,4.3,1,1,2352,3032.9,1756.5,1799.7,"Rare Event Detection Experiment",,,,42.2,38.8,,,,,,,0.077,0.055,,,7.2,5.2,
"B02",Rare Event Detection,"RED","YC210208S",Ch2Unknown,"PMMoV","Manual",37.4,One-Step RT-ddPCR Kit for Probes,748,,,40.6,34.2,532,16472,0,25,532,16447,0,17004,,,,,,,,0.046,,,0.065,0.028,4.4,,,6.1,2.7,1,1,2352,3011.4,1677.1,1718.8,"Rare Event Detection Experiment",,,,39,35.8,,,,,,,0.056,0.037,,,5.3,3.6,
"B03",Rare Event Detection,"RED","YC210208S-",Ch2Unknown,"PMMoV","Manual",29.8,One-Step RT-ddPCR Kit for Probes,596,,,32.7,27,412,16035,1,34,411,16001,0.00906,16447,,,,,,,,0.084,,,0.113,0.055,7.7,,,10.2,5.3,1,1,2352,3148.4,1716.9,1752.8,"Rare Event Detection Experiment",,,,31.3,28.4,,,,,,,0.099,0.069,,,9,6.5,
